id;start_date;end_date;language
1;2023-06-12T13:06:41;2023-06-12T10:56:56;ENGLISH
2;2023-06-11T22:34:16;2023-06-12T07:59:45;FRENCH
3;2023-06-12T08:30:28;2023-06-11T20:35:36;SPANISH
4;2023-06-12T13:01:17;2023-06-11T18:27:36;FRENCH
5;2023-06-12T15:17:40;2023-06-11T23:36:38;ENGLISH
6;2023-06-12T00:48:23;2023-06-12T14:48:43;SPANISH
7;2023-06-12T08:52:11;2023-06-11T19:26:20;FRENCH
8;2023-06-11T23:18:04;2023-06-11T19:53:53;FRENCH
9;2023-06-12T00:09:42;2023-06-12T11:41:08;FRENCH
10;2023-06-11T20:06:40;2023-06-12T13:04:09;FRENCH
